Car	City_University	run_1_sec	run_1_PT_sec	run_1_DNF	run_1_Cones	run_1_OffCourse	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_DNF	run_2_Cones	run_2_OffCourse	run_2_Disq	run_2_Corr_Time_sec	run_3_sec	run_3_PT_sec	run_3_DNF	run_3_Cones	run_3_OffCourse	run_3_Disq	run_3_Corr_Time_sec	run_4_sec	run_4_PT_sec	run_4_DNF	run_4_Cones	run_4_OffCourse	run_4_Disq	run_4_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
31	München TU	80,488	7,000	0	0	0	0	87,488	77,205	7,000	0	0	0	0	84,205	77,801	0,000	0	0	0	0	77,801	76,534	0,000	0	0	0	0	76,534	76,534	0	100,00	1
26	Stuttgart U	74,355	0,000	0	2	0	0	78,355	74,457	0,000	0	0	0	1	0,000		0,000	1	0	0	0	0,000		0,000	1	0	0	0	0,000	78,355	0	88,90	2
124	Tallinn TU UAS	82,430	0,000	0	1	0	0	84,430	83,117	0,000	0	0	0	0	83,117	83,000	0,000	0	0	1	0	93,000	79,771	0,000	0	0	0	0	79,771	79,771	0	80,62	3
63	Trondheim NTNU	81,000	0,000	0	1	0	0	83,000	78,606	0,000	0	0	0	1	0,000	80,899	0,000	0	0	0	0	80,899	76,600	0,000	0	0	0	1	0,000	80,899	0	74,24	4
177	Stuttgart DHBW	82,608	0,000	0	0	0	0	82,608	79,464	0,000	0	2	0	0	83,464	78,645	0,000	0	1	0	1	0,000	79,112	0,000	0	1	0	0	81,112	81,112	0	73,05	5
33	Zürich ETH	87,881	0,000	0	0	0	0	87,881	84,483	0,000	0	0	0	0	84,483	81,934	0,000	0	2	0	0	85,934	81,456	0,000	0	0	0	0	81,456	81,456	0	71,15	6
99	Aachen RWTH	90,184	0,000	0	1	0	0	92,184	85,241	0,000	0	1	0	0	87,241	83,254	0,000	0	0	0	0	83,254	82,753	0,000	0	0	0	0	82,753	82,753	0	64,12	7
78	Hamburg TU	86,426	0,000	0	4	0	0	94,426	83,501	0,000	0	2	0	0	87,501	87,806	0,000	0	0	0	0	87,806	83,085	0,000	0	0	0	0	83,085	83,085	0	62,35	8
13	Berlin TU	85,873	0,000	0	0	0	0	85,873	84,500	0,000	0	3	0	0	90,500	90,621	0,000	0	1	0	0	92,621	83,569	0,000	0	0	0	0	83,569	83,569	0	59,80	9
59	Dresden TU	91,575	0,000	0	1	0	0	93,575	86,402	0,000	0	0	0	0	86,402	85,647	2,000	0	2	0	0	91,647	81,583	2,000	0	0	0	0	83,583	83,583	0	59,73	10
153	Kiel UAS	93,601	0,000	0	1	0	0	95,601		0,000	1	0	0	0	0,000	86,434	0,000	0	0	0	0	86,434	80,114	0,000	0	2	0	0	84,114	84,114	0	56,97	11
14	Budapest TU	84,228	0,000	0	0	0	0	84,228	100,468	0,000	0	2	0	0	104,468	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	84,228	0	56,38	12
