Car	City_University	Energy_kWh	Time_sec	Laps	Efficiency_Factor	Scores	Placing
99	Aachen RWTH	4,263	1634,010	18	11382200,00	75,00	1
26	Stuttgart U	6,147	1381,800	18	11736900,00	72,66	2
177	Stuttgart DHBW	5,877	1442,920	18	12236000,00	69,37	3
161	Göttingen HAWK	4,277	1751,820	18	13125600,00	63,51	4
47	Corvallis OSU	4,155	1778,060	18	13136000,00	63,44	5
50	Lisboa IST	4,204	1820,100	18	13926900,00	58,23	6
45	Sankt Augustin UAS	5,483	1643,520	18	14810400,00	52,41	7
102	Siegen U	5,531	1657,340	18	15192400,00	49,89	8
68	Hsinchu NTHU	5,427	1683,610	18	15383100,00	48,64	9
14	Budapest TU	5,350	1711,160	18	15665200,00	46,78	10
12	Wrocław TU	0,000	0,000	0	0,00	0,00	11
13	Berlin TU	0,000	0,000	17	0,00	0,00	11
15	Madrid TU	0,000	0,000	0	0,00	0,00	11
16	Winterthur ZHAW	0,000	0,000	1	0,00	0,00	11
21	Terrassa ESEIAAT	0,000	0,000	0	0,00	0,00	11
23	Amberg OTH	0,000	0,000	5	0,00	0,00	11
24	Darmstadt TU	0,000	0,000	15	0,00	0,00	11
27	Mumbai Somaiya	0,000	0,000	0	0,00	0,00	11
28	Kassel U	0,000	0,000	0	0,00	0,00	11
29	Bayreuth U	0,000	0,000	3	0,00	0,00	11
30	Kempten UAS	0,000	0,000	0	0,00	0,00	11
31	München TU	0,000	0,000	6	0,00	0,00	11
33	Zürich ETH	0,000	0,000	9	0,00	0,00	11
34	Ingolstadt UAS	0,000	0,000	7	0,00	0,00	11
36	Chemnitz TU	0,000	0,000	16	0,00	0,00	11
41	Wien TU	3,380	0,000	18	0,00	0,00	11
43	Konstanz UAS	5,406	0,000	18	0,00	0,00	11
44	Ulm UAS	0,000	0,000	9	0,00	0,00	11
46	Turin PT	0,000	0,000	0	0,00	0,00	11
48	Bochum U	0,000	0,000	0	0,00	0,00	11
49	Erlangen U	0,000	0,000	0	0,00	0,00	11
51	Sevilla U	3,366	0,000	18	0,00	0,00	11
54	Barcelona UPC	0,000	0,000	12	0,00	0,00	11
55	Be'er Sheva BGU	0,000	0,000	14	0,00	0,00	11
58	Paderborn U	0,000	0,000	2	0,00	0,00	11
59	Dresden TU	0,000	0,000	9	0,00	0,00	11
60	Weingarten UAS	0,000	0,000	0	0,00	0,00	11
62	Regensburg OTH	0,000	0,000	0	0,00	0,00	11
63	Trondheim NTNU	0,000	0,000	18	0,00	0,00	11
65	Wiesbaden UAS	0,000	0,000	0	0,00	0,00	11
66	Nürnberg GSO UAS	0,000	0,000	8	0,00	0,00	11
67	Prague CTU	0,000	0,000	9	0,00	0,00	11
69	Mannheim DHBW	2,558	0,000	18	0,00	0,00	11
76	Freiberg TU	0,000	0,000	3	0,00	0,00	11
77	Diepholz UAS	0,000	0,000	1	0,00	0,00	11
78	Hamburg TU	0,000	0,000	17	0,00	0,00	11
79	Pforzheim U	0,000	0,000	7	0,00	0,00	11
85	Delft TU	0,000	0,000	14	0,00	0,00	11
90	Milano PT	0,000	0,000	11	0,00	0,00	11
91	Braunschweig TU	0,000	0,000	0	0,00	0,00	11
94	Esslingen UAS	0,000	0,000	0	0,00	0,00	11
97	Schweinfurt UAS	0,000	0,000	3	0,00	0,00	11
98	Helsinki UAS	0,000	0,000	0	0,00	0,00	11
110	Augsburg UAS	0,000	0,000	16	0,00	0,00	11
111	Trento U	3,842	0,000	18	0,00	0,00	11
113	München UAS	0,000	0,000	18	0,00	0,00	11
124	Tallinn TU UAS	0,000	0,000	10	0,00	0,00	11
127	Lausanne EPFL	2,810	0,000	18	0,00	0,00	11
135	Belgrade U	0,000	0,000	0	0,00	0,00	11
153	Kiel UAS	0,000	0,000	1	0,00	0,00	11
159	Ljubljana U	0,000	0,000	0	0,00	0,00	11
167	Osnabrück UAS	0,000	0,000	0	0,00	0,00	11
168	Mannheim UAS	4,528	0,000	18	0,00	0,00	11
169	Hamburg UAS	0,000	0,000	0	0,00	0,00	11
172	Dortmund TU	0,000	0,000	0	0,00	0,00	11
800	Enschede U Twente	0,000	0,000	0	0,00	0,00	11
