Car	City_University	Lap1_D1	Lap2_D1	Lap3_D1	Lap4_D1	Lap5_D1	Lap6_D1	Lap7_D1	Lap8_D1	Lap9_D1	Lap10_D2	Lap11_D2	Lap12_D2	Lap13_D2	Lap14_D2	Lap15_D2	Lap16_D2	Lap17_D2	Lap18_D2	total
12	Wrocław TU																			
13	Berlin TU	87,19	85,26	84,09	84,84	87,38	85,57	85,84	85,84	86,15	93,33	87,59	87,25	86,42	86,76	86,31	87,57	87,86		
14	Budapest TU	93,27	89,74	88,31	91,31	105,44	89,52	88,18	90,85	90,80	132,24	106,54	127,23	87,48	86,42	87,44	85,64	84,62	86,13	1711,16
15	Madrid TU																			
16	Winterthur ZHAW	306,10																		
21	Terrassa ESEIAAT																			
23	Amberg OTH	87,53	85,60	96,59	93,93	87,55														
24	Darmstadt TU	102,86	110,67	93,31	90,17	90,39	90,67	93,90	93,86	96,35	108,53	108,85	117,93	113,36	105,39	118,95				
26	Stuttgart U	75,76	74,77	74,97	73,32	75,21	73,40	72,87	81,52	72,60	80,55	78,71	76,33	77,06	77,06	78,55	78,49	79,92	80,70	1381,80
27	Mumbai Somaiya																			
28	Kassel U																			
29	Bayreuth U	104,22	93,66	104,41																
30	Kempten UAS																			
31	München TU	86,84	82,28	83,34	85,41	79,98	99,76													
33	Zürich ETH	84,59	85,74	86,35	83,15	85,60	83,23	83,13	83,18	83,35										
34	Ingolstadt UAS	94,77	89,90	89,62	111,18	85,38	104,48	84,49												
36	Chemnitz TU	176,48	147,74	122,67	145,25	124,45	118,05	100,98	155,23	98,00	148,52	101,12	95,95	159,91	103,80	129,47	103,02			
41	Wien TU	96,98	93,40	87,09	113,36	96,82	102,58	104,90	101,50	103,54	121,90	124,22	118,65	118,40	122,88	122,83	128,52	123,99	126,43	2007,97
43	Konstanz UAS	100,87	92,45	111,96	88,43	91,09	92,06	91,26	90,95	93,34	104,52	103,33	103,43	95,79	117,76	95,48	149,12	100,25	115,32	1837,40
44	Ulm UAS	96,65	94,11	91,83	101,64	99,11	99,82	100,26	95,89	96,52										
45	Sankt Augustin UAS	84,01	86,40	88,50	82,65	85,41	85,25	86,06	85,38	87,68	91,06	90,36	89,19	94,39	99,33	97,06	99,11	101,75	109,94	1643,52
46	Turin PT																			
47	Corvallis OSU	101,59	98,09	103,56	98,24	96,71	105,23	107,34	95,04	90,33	107,86	101,56	98,30	99,50	95,35	95,57	92,10	94,86	96,84	1778,06
48	Bochum U																			
49	Erlangen U																			
50	Lisboa IST	105,34	98,39	98,39	98,58	94,90	97,94	98,94	96,01	97,61	104,64	101,30	101,11	98,93	100,18	103,13	99,69	101,92	123,12	1820,10
51	Sevilla U	99,96	96,59	106,79	104,00	102,34	102,89	101,42	100,77	101,22	102,45	96,47	95,89	115,65	112,43	116,61	112,27	113,16	119,25	1900,14
54	Barcelona UPC	122,94	102,60	96,22	102,86	96,02	99,79	95,94	93,82	93,87	112,51	103,08	128,31							
55	Be'er Sheva BGU	157,62	133,58	128,68	135,33	141,48	129,76	131,94	119,89	111,81	122,69	139,37	122,48	127,05	126,70					
58	Paderborn U	87,57	88,87																	
59	Dresden TU	90,22	82,79	82,53	83,28	84,27	82,62	98,13	82,52	79,96										
60	Weingarten UAS																			
62	Regensburg OTH																			
63	Trondheim NTNU	89,20	80,44	81,59	83,19	89,52	106,33	135,63	130,19	129,44	109,71	117,15	109,19	120,04	111,91	118,20	128,81	128,43	124,93	1993,90
65	Wiesbaden UAS																			
66	Nürnberg GSO UAS	111,17	99,54	96,25	110,96	91,64	98,67	95,83	101,39											
67	Prague CTU	95,07	85,90	84,84	88,65	87,37	87,66	85,21	86,19	87,66										
68	Hsinchu NTHU	90,93	92,58	83,95	83,50	105,31	89,07	90,86	90,07	89,31	98,02	96,62	93,16	90,29	93,02	99,36	102,93	101,84	92,81	1683,61
69	Mannheim DHBW	119,49	113,99	111,76	124,65	111,38	125,71	126,26	126,56	122,16	126,16	127,12	134,23	127,09	124,12	127,93	111,14	106,16	101,83	2167,73
76	Freiberg TU	105,69	102,72	123,47																
77	Diepholz UAS	143,68																		
78	Hamburg TU	86,64	92,52	83,46	85,46	85,60	88,37	90,25	84,02	83,42	93,45	85,07	83,94	87,89	88,57	92,80	93,49	177,19		
79	Pforzheim U	106,30	96,67	94,82	98,89	99,47	102,67	96,22												
85	Delft TU	107,74	82,01	82,96	80,48	77,67	82,25	80,35	77,57	79,45	82,37	77,84	79,31	76,06	76,22					
90	Milano PT	100,85	93,83	90,31	93,96	92,39	97,17	91,14	89,42	86,77	87,35	85,24								
91	Braunschweig TU																			
94	Esslingen UAS																			
97	Schweinfurt UAS	92,66	88,07	86,46																
98	Helsinki UAS																			
99	Aachen RWTH	88,48	88,25	84,62	89,19	86,54	86,14	90,94	89,71	89,54	100,44	93,47	99,93	94,15	87,47	88,54	90,44	94,06	92,12	1634,01
102	Siegen U	100,41	93,31	91,63	89,48	90,09	89,67	91,84	93,67	89,50	96,47	97,11	91,09	91,36	90,40	91,98	87,31	88,33	93,72	1657,34
110	Augsburg UAS	103,53	88,50	88,40	86,91	89,38	86,62	88,30	87,45	89,50	111,43	107,08	97,00	99,70	96,69	101,96	91,26			
111	Trento U	114,91	149,65	116,38	107,25	108,58	117,61	124,47	124,04	116,27	111,83	105,98	108,06	106,85	113,21	109,64	143,63	114,88	117,79	2111,02
113	München UAS	92,54	89,06	90,26	123,93	89,90	88,90	122,20	129,66	108,84	137,05	170,08	126,75	118,93	97,99	109,26	122,88	148,04	144,28	2110,54
124	Tallinn TU UAS	87,80	87,33	83,65	82,23	81,04	86,90	86,99	91,47	95,96	110,15									
127	Lausanne EPFL	106,28	105,09	102,12	101,42	102,14	104,87	114,65	107,42	114,77	116,87	112,40	109,17	107,64	107,69	107,54	107,50	107,54	107,44	1942,53
135	Belgrade U																			
153	Kiel UAS	135,72																		
159	Ljubljana U																			
161	Göttingen HAWK	99,70	104,69	92,82	92,76	93,71	98,45	96,54	91,10	91,23	102,71	106,40	97,65	98,16	98,29	99,39	97,39	95,18	95,67	1751,82
167	Osnabrück UAS																			
168	Mannheim UAS	110,15	95,49	96,48	107,21	93,84	115,04	102,35	96,17	98,77	94,81	101,52	97,61	95,55	99,36	93,80	95,36	102,68	136,91	1833,10
169	Hamburg UAS																			
172	Dortmund TU																			
177	Stuttgart DHBW	80,37	77,85	81,03	77,89	78,34	77,95	78,84	87,71	79,43	82,91	80,01	79,26	78,34	79,15	80,37	81,18	81,24	81,06	1442,92
800	Enschede U Twente															
