Car	City_University	Cost	BPP	Design	ACC	DV_ACC	SkidPad	DV_SkidPad	AutoX	Endu	Effic	Penalties	Overall_Scores	Overall_Placing
26	Stuttgart U	89,00	62,36	130,00	0,00	73,03	36,62	60,00	88,90	250,00	72,66	0,00	862,57	1
177	Stuttgart DHBW	76,00	68,61	80,00	46,55	0,00	18,61	0,00	73,05	214,59	69,37	0,00	646,78	2
14	Budapest TU	73,00	59,58	75,00	36,15	63,16	34,12	66,43	56,38	82,30	46,78	0,00	592,89	3
31	München TU	84,00	61,46	140,00	42,27	71,05	42,88	70,71	100,00	0,00	0,00	20,00	592,38	4
63	Trondheim NTNU	80,00	68,89	100,00	49,15	0,00	50,00	57,86	74,24	0,00	0,00	0,00	480,13	5
99	Aachen RWTH	99,00	66,15	110,00	3,50	0,00	23,04	0,00	64,12	60,39	75,00	25,00	476,19	6
33	Zürich ETH	78,00	74,00	150,00	14,91	0,00	18,68	62,14	71,15	0,00	0,00	0,00	468,89	7
110	Augsburg UAS	100,00	61,94	80,00	31,08	75,00	16,90	72,86	22,99	0,00	0,00	0,00	460,76	8
45	Sankt Augustin UAS	94,00	44,72	90,00	36,44	0,00	11,00	0,00	50,60	110,54	52,41	30,00	459,72	9
78	Hamburg TU	86,00	66,67	70,00	5,86	67,11	23,55	75,00	62,35	0,00	0,00	0,00	456,53	10
124	Tallinn TU UAS	95,00	68,23	120,00	26,65	0,00	38,43	0,00	80,62	0,00	0,00	0,00	428,94	11
50	Lisboa IST	78,00	56,11	90,00	3,50	61,18	3,50	55,71	4,50	30,31	58,23	20,00	421,05	12
85	Delft TU	94,00	73,00	143,00	50,00	0,00	45,87	0,00	0,00	0,00	0,00	0,00	405,87	13
90	Milano PT	75,00	56,11	148,00	0,00	0,00	11,18	68,57	37,19	0,00	0,00	0,00	396,05	14
47	Corvallis OSU	79,00	68,00	70,00	21,22	0,00	0,00	0,00	37,24	53,99	63,44	0,00	392,90	15
