Car	City_University	run_1_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
33	Zürich ETH	3,271	0,000	0	0	0	3,271	3,520	0,000	0	0	0	3,520	3,271	0	50,00	1
99	Aachen RWTH	3,348	0,000	0	0	0	3,348	3,334	0,000	0	0	0	3,334	3,334	0	47,36	2
26	Stuttgart U	3,401	0,000	0	0	0	3,401	3,359	0,000	0	0	0	3,359	3,359	0	46,35	3
31	München TU	3,411	0,000	0	0	1	0,000	3,425	0,000	0	0	0	3,425	3,425	0	43,73	4
59	Dresden TU	5,552	0,000	0	0	0	5,552	3,470	0,000	0	0	0	3,470	3,470	0	42,00	5
63	Trondheim NTNU	3,574	0,000	0	0	0	3,574	3,531	0,000	0	0	0	3,531	3,531	0	39,73	6
77	Stuttgart DHBW	6,327	0,000	0	0	0	6,327	3,540	0,000	0	0	0	3,540	3,540	0	39,40	7
124	Tallinn TU UAS	3,649	0,000	0	0	0	3,649	3,556	0,000	0	0	0	3,556	3,556	0	38,82	8
88	Montréal ETS	3,596	0,000	0	0	0	3,596	3,592	0,000	0	0	0	3,592	3,592	0	37,53	9
120	Karlsruhe KIT	3,662	0,000	0	0	0	3,662	3,592	0,000	0	0	0	3,592	3,592	0	37,53	9
94	Esslingen UAS	3,708	0,000	0	0	0	3,708	3,631	0,000	0	0	0	3,631	3,631	0	36,17	11
40	Eindhoven TU	4,048	0,000	0	0	0	4,048	3,702	0,000	0	0	0	3,702	3,702	0	33,76	12
68	Hsinchu NTHU	3,740	0,000	0	0	0	3,740	3,736	0,000	0	0	0	3,736	3,736	0	32,64	13
14	Budapest TU	3,786	0,000	0	0	0	3,786	4,009	0,000	0	0	0	4,009	3,786	0	31,02	14
78	Hamburg TU	3,863	0,000	0	0	0	3,863	3,810	0,000	0	0	0	3,810	3,810	0	30,27	15
34	Ingolstadt UAS	3,915	0,000	0	0	0	3,915	3,847	0,000	0	0	0	3,847	3,847	0	29,11	16
148	Nürnberg GSO UAS	3,859	0,000	0	0	0	3,859	4,203	0,000	0	0	0	4,203	3,859	0	28,74	17
50	Lisboa IST	18,528	0,000	0	0	0	18,528	3,878	0,000	0	0	0	3,878	3,878	0	28,16	18
60	Weingarten UAS	3,919	0,000	0	0	0	3,919	3,904	0,000	0	0	0	3,904	3,904	0	27,38	19
13	Corvallis OSU	3,906	0,000	0	0	0	3,906	3,939	0,000	0	0	0	3,939	3,906	0	27,32	20
161	Göttingen HAWK	3,962	0,000	0	0	0	3,962	3,924	0,000	0	0	0	3,924	3,924	0	26,79	21
42	Ulm UAS	4,095	0,000	0	0	0	4,095	3,939	0,000	0	0	0	3,939	3,939	0	26,34	22
107	Innsbruck U	4,206	0,000	0	0	0	4,206	4,144	0,000	0	0	0	4,144	4,144	0	20,61	23
25	Athens TU	4,320	0,000	0	0	0	4,320	4,221	0,000	0	0	0	4,221	4,221	0	18,60	24
74	Brno TU	4,163	0,300	0	0	0	4,463	3,966	0,300	0	0	0	4,266	4,266	0	17,46	25
131	Berlin TU	4,003	0,300	0	0	0	4,303	3,992	0,300	0	0	0	4,292	4,292	0	16,82	26
110	Augsburg UAS	5,341	0,000	0	0	0	5,341	4,338	0,000	0	0	0	4,338	4,338	0	15,69	27
90	Milano PT	4,498	0,000	0	0	0	4,498	4,386	0,000	0	0	0	4,386	4,386	0	14,54	28
196	Hamburg UAS	4,420	0,000	0	0	0	4,420	4,618	0,000	0	0	0	4,618	4,420	0	13,74	29
35	Wolfenbüttel UAS Ostfalia	4,441	0,000	0	0	0	4,441	4,436	0,000	0	0	0	4,436	4,436	0	13,36	30
