Car	City_University	Time_sec	Cones	OffCourse	MissedSlalom	OutOfOrder	Flag	OverDr	VehicleContact	DriverChange_sec	PenaltyTime_sec	Corr_Time_sec	Penalty	Scores	Placing
99	Aachen RWTH	1390,84	3	0	0	0	0	0	0	0,00	0,00	1396,84	0	250,00	1
63	Trondheim NTNU	1490,52	3	0	0	0	0	0	0	0,00	0,00	1496,52	0	190,01	2
77	Stuttgart DHBW	1500,19	2	0	0	0	0	0	0	0,00	0,00	1504,19	0	185,72	3
94	Esslingen UAS	1561,79	1	0	0	0	0	0	0	0,00	0,00	1563,79	0	153,84	4
33	Zürich ETH	1476,17	6	1	0	0	0	0	0	70,00	0,00	1568,17	0	151,60	5
124	Tallinn TU UAS	1564,61	10	0	0	0	0	0	0	0,00	0,00	1584,61	0	143,27	6
123	Amberg OTH	1588,44	3	0	0	0	0	0	0	0,00	0,00	1594,44	0	138,38	7
74	Brno TU	1590,75	11	0	0	0	0	0	0	0,00	0,00	1612,75	0	129,42	8
97	Schweinfurt UAS	1748,03	3	0	0	0	0	0	0	0,00	0,00	1754,03	0	66,59	9
50	Lisboa IST	1747,68	5	0	0	0	0	0	0	0,00	30,00	1787,68	0	53,09	10
90	Milano PT	1770,32	7	1	0	0	0	0	0	0,00	0,00	1794,32	0	50,48	11
13	Corvallis OSU	1777,74	7	0	0	0	0	0	0	0,00	30,00	1821,74	0	39,93	12
44	Deggendorf IT	1892,38	0	0	0	0	0	0	0	0,00	0,00	0,00	0	25,00	13
14	Budapest TU	1582,28	6	0	0	0	0	0	0	0,00	120,00	0,00	0	0,00	14
17	Pune PCCOE	1865,11	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
20	Magdeburg OvGU	1534,56	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
22	Stralsund UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
23	Hannover U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
24	Darmstadt TU	1876,81	5	0	0	1	0	0	0	90,00	0,00	0,00	0	0,00	14
25	Athens TU	852,71	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
26	Stuttgart U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
28	Kassel U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
31	München TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
32	Porto U	119,83	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
34	Ingolstadt UAS	0,00	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
35	Wolfenbüttel UAS Ostfalia	875,42	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
40	Eindhoven TU	1577,84	7	0	0	0	0	0	0	0,00	0,00	0,00	0	0,00	14
42	Ulm UAS	984,16	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
43	Konstanz UAS	111,82	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
48	Bochum U	806,66	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
49	Erlangen U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
51	Sevilla U	318,39	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
53	Lemgo TH OWL	1657,19	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
54	Barcelona UPC	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
59	Dresden TU	663,80	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
60	Weingarten UAS	950,98	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
62	Regensburg OTH	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
65	Pisa U	0,00	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
68	Hsinchu NTHU	785,77	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
71	Stockholm KTH	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
72	Bremen U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
76	Freiberg TU	900,92	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
78	Hamburg TU	1499,24	0	0	0	0	0	0	0	27,00	0,00		0	0,00	14
79	Barcelona EEBE UPC	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
85	Delft TU	856,37	0	0	0	0	0	0	0	207,00	0,00		0	0,00	14
88	Montréal ETS	1419,90	0	0	0	0	0	0	0	61,00	0,00		0	0,00	14
95	Göteborg Chalmers	904,12	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
98	Helsinki UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
101	Mannheim DHBW	535,64	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
103	Wrocław TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
107	Innsbruck U	1508,41	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
110	Augsburg UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
111	Trento U	1695,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
113	München UAS	94,44	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
115	Glasgow U Strath	1159,34	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
117	New Delhi IIT	730,22	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
120	Karlsruhe KIT	283,80	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
122	Diepholz UAS	1945,29	25	0	0	0	0	0	0	153,00	0,00	0,00	0	0,00	14
127	Lausanne EPFL	142,16	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
131	Berlin TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
140	Duisburg U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
148	Nürnberg GSO UAS	824,99	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
149	Landshut UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
161	Göttingen HAWK	182,76	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
164	Kaiserslautern RPTU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
167	Osnabrück UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
169	Ljubljana U	308,22	0	0	0	1	0	0	0	0,00	0,00		0	0,00	14
170	Mittweida UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
172	Dortmund TU	1963,44	1	0	0	0	0	0	0	0,00	0,00	0,00	0	0,00	14
196	Hamburg UAS	837,61	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
800	Enschede U Twente	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	14
