Car	City_University	run_1_1_sec	run_1_2_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Time_sec	run_2_1_sec	run_2_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Time_sec	Best_Time_sec	Penalty	Scores	Placing
26	Stuttgart U	4,914	4,769	0,000	0	0	0	4,842	4,640	4,648	0,000	0	0	0	4,644	4,644	0	50,00	1
124	Tallinn TU UAS	4,918	4,744	0,000	0	0	0	4,831	4,761	4,615	0,000	0	0	0	4,688	4,688	0	47,59	2
63	Trondheim NTNU	5,076	4,781	0,000	0	0	0	4,929	4,791	4,736	0,000	0	0	0	4,764	4,764	0	43,60	3
14	Budapest TU	5,060	5,007	0,000	0	0	0	5,034	4,883	4,785	0,000	0	0	0	4,834	4,834	0	40,05	4
113	München UAS	5,106	5,282	0,000	0	0	0	5,194	4,746	5,024	0,000	0	0	0	4,885	4,885	0	37,57	5
78	Hamburg TU	5,033	4,889	0,000	0	0	0	4,961	4,969	4,878	0,000	0	0	0	4,924	4,924	0	35,75	6
77	Stuttgart DHBW	5,371	5,067	0,000	0	0	0	5,219	4,972	4,883	0,000	0	0	0	4,928	4,928	0	35,56	7
88	Montréal ETS	5,145	4,962	0,000	0	0	0	5,054	5,017	4,855	0,000	0	0	0	4,936	4,936	0	35,17	8
31	München TU	4,954	5,073	0,000	0	0	0	5,014	4,934	4,939	0,000	0	0	0	4,937	4,937	0	35,15	9
85	Delft TU	5,438	5,231	0,000	1	0	0	5,535	5,001	4,913	0,000	0	0	0	4,957	4,957	0	34,20	10
94	Esslingen UAS	5,072	5,190	0,000	1	0	0	5,331	5,003	5,009	0,000	0	0	0	5,006	5,006	0	31,99	11
95	Göteborg Chalmers	5,098	5,107	0,000	0	0	0	5,103	5,046	4,974	0,000	0	0	0	5,010	5,010	0	31,82	12
33	Zürich ETH	5,230	5,175	0,000	0	0	0	5,203	5,116	4,983	0,000	0	0	0	5,050	5,050	0	30,09	13
74	Brno TU	5,190	5,107	0,000	0	0	0	5,149	5,082	5,089	0,000	0	0	0	5,086	5,086	0	28,55	14
59	Dresden TU	5,154	5,144	0,000	0	0	0	5,149	5,202	4,993	0,000	0	0	0	5,098	5,098	0	28,04	15
131	Berlin TU	5,280	5,219	0,000	0	0	0	5,250	5,151	5,081	0,000	0	0	0	5,116	5,116	0	27,27	16
42	Ulm UAS	5,453	5,204	0,000	0	0	0	5,329	5,249	4,997	0,000	0	0	0	5,123	5,123	0	26,98	17
34	Ingolstadt UAS	5,209	5,095	0,000	0	0	0	5,152	5,547	5,053	0,000	0	0	0	5,300	5,152	0	25,78	18
120	Karlsruhe KIT	5,259	5,065	0,000	0	0	0	5,162	5,197	5,167	0,000	0	0	0	5,182	5,162	0	25,38	19
99	Aachen RWTH	5,512	5,217	0,000	0	0	0	5,365	5,217	5,113	0,000	0	0	0	5,165	5,165	0	25,26	20
60	Weingarten UAS	5,527	5,351	0,000	0	0	0	5,439	5,337	5,070	0,000	0	0	0	5,204	5,204	0	23,72	21
25	Athens TU	5,333	5,409	0,000	0	0	0	5,371	5,145	5,288	0,000	0	0	0	5,217	5,217	0	23,20	22
35	Wolfenbüttel UAS Ostfalia	5,437	5,222	0,000	1	0	0	5,530	5,308	5,166	0,000	0	0	0	5,237	5,237	0	22,40	23
148	Nürnberg GSO UAS	5,298	5,267	0,000	0	0	0	5,283	5,116	5,036	0,200	0	0	0	5,276	5,276	0	20,91	24
54	Barcelona UPC	5,604	5,484	0,000	0	0	0	5,544	5,345	5,221	0,000	0	0	0	5,283	5,283	0	20,64	25
172	Dortmund TU	5,559	5,369	0,000	1	0	0	5,664	5,413	5,253	0,000	0	0	0	5,333	5,333	0	18,78	26
161	Göttingen HAWK			0,000	0	1	0	0,000	5,641	5,184	0,000	0	0	0	5,413	5,413	0	15,92	27
111	Trento U	5,552	5,346	0,200	0	0	0	5,649	5,239	5,255	0,200	0	0	0	5,447	5,447	0	14,72	28
50	Lisboa IST	5,629	5,502	0,000	0	0	0	5,566	5,443	5,459	0,000	0	0	0	5,451	5,451	0	14,59	29
13	Corvallis OSU	5,676	5,303	0,000	0	0	0	5,490	5,578	5,182	0,000	1	0	0	5,580	5,490	0	13,28	30
76	Freiberg TU	5,639	5,739	0,000	0	0	0	5,689	5,579	5,400	0,000	0	0	0	5,490	5,490	0	13,28	30
169	Ljubljana U	5,724	5,498	0,200	0	0	0	5,811	5,594	5,422	0,000	0	0	0	5,508	5,508	0	12,66	32
48	Bochum U	5,848	5,738	0,000	0	0	0	5,793	5,602	5,524	0,000	0	0	0	5,563	5,563	0	10,85	33
115	Glasgow U Strath	6,343	6,035	0,000	0	0	0	6,189	5,713	5,455	0,000	0	0	0	5,584	5,584	0	10,17	34
101	Mannheim DHBW	6,024	5,776	0,000	0	0	0	5,900	5,710	5,797	0,000	0	0	0	5,754	5,754	0	4,99	35
20	Magdeburg OvGU	5,841	5,824	0,000	0	0	0	5,833			0,000	0	1	0	0,000	5,833	0	3,50	36
32	Porto U	6,575	5,958	0,000	0	0	0	6,267	6,437	5,796	0,000	0	0	0	6,117	6,117	0	3,50	36
40	Eindhoven TU	8,219	4,918	0,000	0	0	0	6,569	7,984	4,824	0,000	0	0	0	6,404	6,404	0	3,50	36
44	Deggendorf IT	6,278	6,187	0,000	0	0	0	6,233	6,049	6,075	0,000	0	0	0	6,062	6,062	0	3,50	36
90	Milano PT	5,665	6,394	0,000	2	0	0	6,430	0,000	0,000	0,000	0	0	0	0,000	6,430	0	3,50	36
110	Augsburg UAS	5,918	5,894	0,000	0	0	0	5,906	5,847	5,911	0,000	0	0	0	5,879	5,879	0	3,50	36
122	Diepholz UAS	6,439	6,104	0,000	0	0	0	6,272	5,890	5,868	0,000	0	0	0	5,879	5,879	0	3,50	36
196	Hamburg UAS	5,913	5,977	0,000	0	0	0	5,945	5,722	5,596	0,600	0	0	0	6,259	5,945	0	3,50	36
17	Pune PCCOE	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
22	Stralsund UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
23	Hannover U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
24	Darmstadt TU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
28	Kassel U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
43	Konstanz UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
49	Erlangen U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
51	Sevilla U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
53	Lemgo TH OWL	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
62	Regensburg OTH	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
65	Pisa U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
68	Hsinchu NTHU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
71	Stockholm KTH	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
72	Bremen U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
79	Barcelona EEBE UPC	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
97	Schweinfurt UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
98	Helsinki UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
103	Wrocław TU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
107	Innsbruck U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
117	New Delhi IIT	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
123	Amberg OTH	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
127	Lausanne EPFL	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
140	Duisburg U	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
149	Landshut UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
164	Kaiserslautern RPTU	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
167	Osnabrück UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
170	Mittweida UAS	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
800	Enschede U Twente	0,000	0,000	0,000	0	0	0	0,000	0,000	0,000	0,000	0	0	0	0,000	0,000	0	0,00	44
