Car City_University	run_1_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
59	Dresden TU	3,388	0,000	0	0	0	3,388	3,380	0,000	0	0	0	3,380	3,380	0	50,00	1
33	Zürich ETH	3,404	0,000	0	0	0	3,404	3,391	0,000	0	0	0	3,391	3,391	0	49,54	2
124	Tallinn TU UAS	3,458	0,000	0	0	0	3,458	3,458	0,000	0	0	0	3,458	3,458	0	46,79	3
24	Karlsruhe KIT	5,299	0,000	0	0	0	5,299	3,463	0,000	0	0	0	3,463	3,463	0	46,58	4
26	Stuttgart U	3,501	0,000	0	0	0	3,501	3,474	0,000	0	0	0	3,474	3,474	0	46,14	5
63	Trondheim NTNU	3,540	0,000	0	0	0	3,540	3,537	0,000	0	0	0	3,537	3,537	0	43,67	6
77	Stuttgart DHBW	3,563	0,000	0	0	0	3,563	3,576	0,000	0	0	0	3,576	3,563	0	42,68	7
94	Esslingen UAS	3,568	0,000	0	0	0	3,568	3,574	0,000	0	0	0	3,574	3,568	0	42,49	8
141	Wien TU	3,609	0,000	0	0	0	3,609	3,850	0,000	0	0	0	3,850	3,609	0	40,96	9
95	Göteborg Chalmers	3,708	0,000	0	0	0	3,708	3,663	0,000	0	0	0	3,663	3,663	0	38,99	10
340	Eindhoven TU	3,691	0,000	0	0	0	3,691	3,716	0,000	0	0	0	3,716	3,691	0	37,99	11
90	Milano PT	3,707	0,000	0	0	0	3,707	3,710	0,000	0	0	0	3,710	3,707	0	37,43	12
13	München UAS	4,864	0,000	0	0	0	4,864	3,768	0,000	0	0	0	3,768	3,768	0	35,33	13
42	Prague CTU	3,795	0,000	0	0	0	3,795	3,776	0,000	0	0	0	3,776	3,776	0	35,06	14
78	Hamburg TU	3,818	0,000	0	0	0	3,818	3,812	0,000	0	0	0	3,812	3,812	0	33,85	15
43	Konstanz UAS	3,789	0,000	0	0	1	0,000	3,820	0,000	0	0	0	3,820	3,820	0	33,59	16
34	Ingolstadt UAS	3,852	0,000	0	0	0	3,852	3,835	0,000	0	0	0	3,835	3,835	0	33,09	17
46	Turin PT	3,871	0,000	0	0	0	3,871	3,870	0,000	0	0	0	3,870	3,870	0	31,96	18
50	Lisboa IST	4,240	0,000	0	0	0	4,240	3,885	0,000	0	0	0	3,885	3,885	0	31,48	19
66	Melbourne Monash	3,891	0,000	0	0	0	3,891	3,888	0,000	0	0	0	3,888	3,888	0	31,38	20
99	Aachen RWTH	4,045	0,000	0	0	0	4,045	3,897	0,000	0	0	0	3,897	3,897	0	31,10	21
127	Lausanne EPFL	4,026	0,000	0	0	0	4,026	3,924	0,000	0	0	0	3,924	3,924	0	30,24	22
107	Bern UAS	3,988	0,000	0	0	0	3,988	0,000	0,000	0	0	0	0,000	3,988	0	28,27	23
200	Padova U	4,012	0,000	0	0	0	4,012	4,006	0,000	0	0	0	4,006	4,006	0	27,73	24
29	Bayreuth U	4,034	0,000	0	0	0	4,034	4,085	0,000	0	0	0	4,085	4,034	0	26,90	25
79	Pforzheim U	4,095	0,000	0	0	0	4,095	4,059	0,000	0	0	0	4,059	4,059	0	26,16	26
60	Nürnberg GSO UAS	4,241	0,000	0	0	0	4,241	4,151	0,000	0	0	0	4,151	4,151	0	23,53	27
52	Kempten UAS	4,160	0,000	0	0	0	4,160	4,771	0,000	0	0	0	4,771	4,160	0	23,28	28
44	Ulm UAS	4,304	0,000	0	0	0	4,304	4,173	0,000	0	0	0	4,173	4,173	0	22,92	29
23	Amberg OTH	4,221	0,000	0	0	0	4,221	4,224	0,000	0	0	0	4,224	4,221	0	21,61	30
35	Wolfenbüttel UAS Ostfalia	4,230	0,000	0	0	0	4,230	4,250	0,000	0	0	0	4,250	4,230	0	21,37	31
65	Wiesbaden UAS	4,392	0,000	0	0	0	4,392	4,312	0,000	0	0	0	4,312	4,312	0	19,20	32
297	Schweinfurt UAS	4,560	0,000	0	0	0	4,560	4,312	0,000	0	0	0	4,312	4,312	0	19,20	32
187	Hannover U	4,451	0,000	0	0	0	4,451	4,334	0,000	0	0	0	4,334	4,334	0	18,63	34
74	Brno TU	4,349	0,000	0	0	0	4,349	4,387	0,000	0	0	0	4,387	4,349	0	18,25	35
84	Warsaw UT	4,364	0,000	0	0	0	4,364	4,395	0,000	0	0	0	4,395	4,364	0	17,87	36
49	Erlangen U	4,711	0,000	0	0	0	4,711	4,519	0,000	0	0	0	4,519	4,519	0	14,08	37
172	Dortmund TU	4,445	0,000	0	0	1	0,000	4,551	0,000	0	0	0	4,551	4,551	0	13,33	38
122	Diepholz UAS	4,919	0,000	0	0	0	4,919	4,552	0,000	0	0	0	4,552	4,552	0	13,31	39
40	Montréal PT	31,324	0,000	0	0	0	31,324	4,575	0,000	0	0	0	4,575	4,575	0	12,78	40
181	Göttingen HAWK	4,670	0,000	0	0	0	4,670	4,645	0,000	0	0	0	4,645	4,645	0	11,19	41
100	Pisa U	5,188	0,000	0	0	0	5,188	4,663	0,000	0	0	0	4,663	4,663	0	10,79	42
