Car	City_University	run_1_sec	run_1_PT_sec	run_1_DNF	run_1_Cones	run_1_OffCourse	run_1_Disq	run_1_Corr_Time_sec	run_2_sec	run_2_PT_sec	run_2_DNF	run_2_Cones	run_2_OffCourse	run_2_Disq	run_2_Corr_Time_sec	run_3_sec	run_3_PT_sec	run_3_DNF	run_3_Cones	run_3_OffCourse	run_3_Disq	run_3_Corr_Time_sec	run_4_sec	run_4_PT_sec	run_4_DNF	run_4_Cones	run_4_OffCourse	run_4_Disq	run_4_Corr_Time_sec	Best_Time_sec	Penalty	Scores	Placing
33	Zürich ETH	73,490	0,000	0	0	0	0	73,490	73,574	0,000	0	1	0	0	75,574	75,553	0,000	0	1	0	0	77,553	73,772	0,000	0	0	0	0	73,772	73,490	0	100,00	1
124	Tallinn TU UAS	80,144	0,000	0	1	0	0	82,144	76,627	0,000	0	1	0	0	78,627	76,993	0,000	0	0	0	0	76,993	74,706	0,000	0	0	0	0	74,706	74,706	0	92,27	2
59	Dresden TU	110,789	0,000	0	6	2	0	142,789	82,485	0,000	0	6	0	0	94,485	75,522	0,000	0	1	0	0	77,522	73,664	0,000	0	1	0	0	75,664	75,664	0	86,35	3
85	Delft TU	76,583	0,000	0	2	1	0	90,583	76,391	0,000	0	6	0	1	0,000	76,384	0,000	0	0	0	0	76,384	74,409	0,000	0	1	0	0	76,409	76,384	0	82,00	4
24	Karlsruhe KIT	86,262	0,000	0	0	0	0	86,262	77,835	0,000	0	0	0	0	77,835	78,053	0,000	0	2	0	0	82,053	75,812	0,000	0	1	0	0	77,812	77,812	0	73,62	5
26	Stuttgart U		0,000	1	0	0	0	0,000	77,035	0,000	0	3	0	0	83,035	76,736	0,000	0	0	0	1	0,000	73,987	0,000	0	2	0	0	77,987	77,987	0	72,61	6
95	Göteborg Chalmers	85,832	0,000	0	1	0	0	87,832	82,164	0,000	0	1	0	0	84,164	83,073	0,000	0	0	0	0	83,073	79,553	0,000	0	0	0	0	79,553	79,553	0	63,80	7
90	Milano PT	82,748	0,000	0	0	0	0	82,748	79,788	0,000	0	0	0	0	79,788	78,757	0,000	0	2	0	0	82,757	77,520	0,000	0	2	0	0	81,520	79,788	0	62,51	8
94	Esslingen UAS	78,288	0,000	0	1	0	0	80,288	88,595	0,000	0	5	0	0	98,595	80,256	0,000	0	1	0	0	82,256	81,939	0,000	0	0	0	0	81,939	80,288	0	59,78	9
35	Wolfenbüttel UAS Ostfalia	83,189	0,000	0	0	0	0	83,189	85,051	0,000	0	0	0	0	85,051	84,460	0,000	0	0	0	0	84,460	80,532	0,000	0	0	0	0	80,532	80,532	0	58,46	10
399	Karlsruhe UAS	82,195	0,000	0	1	0	0	84,195	80,833	0,000	0	0	0	0	80,833	103,714	0,000	0	0	0	1	0,000	100,687	0,000	0	0	0	1	0,000	80,833	0	56,85	11
77	Stuttgart DHBW	79,153	0,000	0	1	0	1	0,000	76,882	0,000	0	0	0	1	0,000	82,516	0,000	0	0	0	0	82,516	79,177	0,000	0	1	0	0	81,177	81,177	0	55,02	12
141	Wien TU	103,067	0,000	0	0	0	0	103,067	91,719	0,000	0	0	0	0	91,719	84,594	0,000	0	2	0	0	88,594	81,188	0,000	0	0	0	0	81,188	81,188	0	54,96	13
40	Montréal PT	84,800	0,000	0	0	0	0	84,800	82,348	0,000	0	0	0	1	0,000	81,335	0,000	0	0	0	0	81,335	82,224	0,000	0	3	0	0	88,224	81,335	0	54,18	14
60	Nürnberg GSO UAS	83,698	0,000	0	0	0	0	83,698	79,703	0,000	0	1	0	0	81,703	89,693	0,000	0	0	0	0	89,693	82,410	0,000	0	5	0	0	92,410	81,703	0	52,25	15
187	Hannover U	85,489	0,000	0	0	0	0	85,489	81,988	0,000	0	0	0	0	81,988	92,060	0,000	0	2	3	0	126,060	85,782	0,000	0	6	1	0	107,782	81,988	0	50,77	16
42	Prague CTU	91,024	0,000	0	0	0	0	91,024	82,274	0,000	0	0	0	0	82,274	97,989	0,000	0	0	0	0	97,989	83,392	0,000	0	0	0	0	83,392	82,274	0	49,29	17
66	Melbourne Monash	88,834	0,000	0	2	1	0	102,834	86,449	0,000	0	3	0	0	92,449	86,664	0,000	0	3	0	0	92,664	82,923	0,000	0	0	0	0	82,923	82,923	0	45,97	18
172	Dortmund TU	84,431	0,000	0	8	0	1	0,000	93,642	0,000	0	8	0	1	0,000	88,005	0,000	0	0	0	1	0,000	85,108	0,000	0	0	0	0	85,108	85,108	0	35,16	19
313	Berlin TU	81,425	0,000	0	2	0	0	85,425	107,836	0,000	0	1	0	0	109,836	147,068	0,000	0	0	0	0	147,068	150,867	0,000	0	0	0	0	150,867	85,425	0	33,64	20
62	Regensburg OTH	89,858	0,000	0	1	0	0	91,858	83,976	0,000	0	1	0	0	85,976	96,455	0,000	0	0	0	0	96,455	86,260	0,000	0	1	0	0	88,260	85,976	0	31,02	21
34	Ingolstadt UAS	85,978	0,000	0	0	0	0	85,978	82,710	0,000	0	2	1	0	96,710	85,112	0,000	0	0	0	1	0,000	80,694	0,000	0	2	0	1	0,000	85,978	0	31,01	22
50	Lisboa IST	87,284	0,000	0	2	0	0	91,284	85,862	0,000	0	3	0	0	91,862	89,803	0,000	0	0	0	0	89,803	86,428	0,000	0	0	0	0	86,428	86,428	0	28,89	23
25	Athens TU	103,214	0,000	0	0	0	0	103,214	86,443	0,000	0	0	0	0	86,443	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	86,443	0	28,82	24
79	Pforzheim U	97,286	0,000	0	2	0	0	101,286	149,564	0,000	0	0	0	0	149,564	86,695	0,000	0	0	0	0	86,695	87,082	0,000	0	0	0	0	87,082	86,695	0	27,65	25
44	Ulm UAS	87,793	0,000	0	4	0	0	95,793	86,790	0,000	0	0	0	0	86,790	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	86,790	0	27,21	26
297	Schweinfurt UAS	86,911	0,000	0	0	0	0	86,911	99,033	0,000	0	0	3	0	129,033	152,586	0,000	0	1	0	0	154,586	99,748	0,000	0	1	0	0	101,748	86,911	0	26,65	27
200	Padova U	89,412	0,000	0	2	0	0	93,412	86,939	0,000	0	0	0	0	86,939	85,264	0,000	0	13	1	0	121,264	85,318	0,000	0	6	0	0	97,318	86,939	0	26,52	28
78	Hamburg TU	103,510	0,000	0	1	0	0	105,510	84,669	0,000	0	2	0	0	88,669	87,322	0,000	0	0	0	0	87,322	83,672	0,000	0	1	0	1	0,000	87,322	0	24,76	29
100	Pisa U		0,000	1	0	0	0	0,000	94,867	0,000	0	0	0	0	94,867	87,423	0,000	0	0	0	0	87,423	0,000	0,000	0	0	0	0	0,000	87,423	0	24,30	30
54	Barcelona ETSEIB	89,516	0,000	0	6	0	0	101,516	87,432	0,000	0	0	0	0	87,432		2,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	87,432	0	24,26	31
52	Kempten UAS	120,378	0,000	0	0	0	0	120,378	90,270	0,000	0	1	0	1	0,000	91,375	0,000	0	0	0	0	91,375	86,631	0,000	0	1	0	0	88,631	88,631	0	18,85	32
240	Darmstadt TU	87,856	0,000	0	1	0	0	89,856	87,283	0,000	0	1	0	0	89,283	87,459	0,000	0	1	0	0	89,459		0,000	1	0	0	0	0,000	89,283	0	15,98	33
69	Hamburg UAS	90,285	0,000	0	4	0	0	98,285	88,283	0,000	0	8	0	0	104,283	98,695	0,000	0	0	1	0	108,695	85,415	0,000	0	2	0	0	89,415	89,415	0	15,40	34
22	Leuven KU	94,904	5,000	0	0	0	0	99,904	89,096	5,000	0	0	0	0	94,096	88,933	0,000	0	1	0	0	90,933	94,871	0,000	0	4	0	0	102,871	90,933	0	8,88	35
167	Osnabrück UAS	92,041	2,000	0	0	0	0	94,041	89,070	2,000	0	0	0	0	91,070	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	91,070	0	8,31	36
92	Sevilla U	89,839	0,000	0	4	0	0	97,839	89,079	0,000	0	1	0	0	91,079		0,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	91,079	0	8,27	37
13	München UAS		0,000	1	0	0	0	0,000	81,368	0,000	0	0	1	0	91,368	88,603	0,000	0	3	0	0	94,603	0,000	0,000	0	0	0	0	0,000	91,368	0	7,06	38
11	Ravensburg DHBW	94,482	0,000	0	1	0	0	96,482	88,745	0,000	0	0	0	1	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	96,482	0	5,00	39
29	Bayreuth U	96,463	0,000	0	5	0	0	106,463	95,856	0,000	0	0	0	0	95,856	106,020	0,000	0	3	0	0	112,020	98,088	0,000	0	2	0	0	102,088	95,856	0	5,00	39
36	Chemnitz TU	102,517	0,000	0	2	0	0	106,517	97,359	0,000	0	4	0	0	105,359	112,060	0,000	0	6	0	0	124,060	106,973	0,000	0	4	0	0	114,973	105,359	0	5,00	39
43	Konstanz UAS	89,871	0,000	0	8	0	0	105,871	90,050	0,000	0	2	0	0	94,050	85,982	0,000	0	4	0	0	93,982		0,000	1	0	0	0	0,000	93,982	0	5,00	39
46	Turin PT	90,966	0,000	0	0	1	0	100,966	96,265	0,000	0	0	0	0	96,265	93,453	0,000	0	2	0	1	0,000	84,094	0,000	0	0	0	1	0,000	96,265	0	5,00	39
48	Bochum U	97,658	0,000	0	0	0	0	97,658		0,000	1	0	0	0	0,000	102,244	0,000	0	7	0	0	116,244	94,042	0,000	0	6	0	0	106,042	97,658	0	5,00	39
49	Erlangen U	90,605	0,000	0	6	0	0	102,605	90,804	0,000	0	1	0	0	92,804	98,763	0,000	0	0	0	1	0,000	90,497	0,000	0	1	0	1	0,000	92,804	0	5,00	39
65	Wiesbaden UAS	98,433	0,000	0	5	0	0	108,433	94,043	0,000	0	0	0	0	94,043	83,675	0,000	0	7	0	0	97,675	82,566	0,000	0	11	0	1	0,000	94,043	0	5,00	39
74	Brno TU	181,779	0,000	0	0	0	0	181,779	88,096	0,000	0	4	0	0	96,096	104,836	0,000	0	2	0	0	108,836		0,000	1	0	0	0	0,000	96,096	0	5,00	39
76	Freiberg TU	105,817	0,000	0	0	0	0	105,817	100,833	0,000	0	0	0	0	100,833	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	100,833	0	5,00	39
84	Warsaw UT	97,271	0,000	0	1	0	1	0,000	91,955	0,000	0	3	0	1	0,000	99,800	0,000	0	2	2	0	123,800		0,000	1	0	0	0	0,000	123,800	0	5,00	39
99	Aachen RWTH		0,000	1	0	0	0	0,000	129,847	0,000	0	0	0	0	129,847	110,297	0,000	0	0	0	0	110,297	0,000	0,000	0	0	0	0	0,000	110,297	0	5,00	39
107	Bern UAS	96,196	0,000	0	0	0	0	96,196	95,526	0,000	0	0	0	0	95,526	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	95,526	0	5,00	39
111	Trento U	91,699	0,000	0	0	0	1	0,000	86,243	0,000	0	0	0	1	0,000	93,508	0,000	0	0	0	0	93,508	90,711	0,000	0	2	1	0	104,711	93,508	0	5,00	39
115	Glasgow U Strath	94,816	0,000	0	0	0	0	94,816	123,500	0,000	0	0	0	0	123,500	175,893	0,000	0	0	0	0	175,893	115,590	0,000	0	2	0	0	119,590	94,816	0	5,00	39
122	Diepholz UAS	97,878	0,000	0	3	0	0	103,878	89,759	0,000	0	3	0	0	95,759	96,830	0,000	0	1	0	1	0,000	91,526	0,000	0	2	0	1	0,000	95,759	0	5,00	39
130	Sion HES	98,034	0,000	0	1	0	0	100,034	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	100,034	0	5,00	39
173	Düsseldorf HSD	111,622	0,000	0	0	0	0	111,622	104,374	0,000	0	1	0	0	106,374	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	106,374	0	5,00	39
181	Göttingen HAWK	112,979	0,000	0	2	0	0	116,979	102,105	0,000	0	0	0	0	102,105	95,763	0,000	0	0	0	0	95,763	91,219	0,000	0	5	0	0	101,219	95,763	0	5,00	39
224	Stralsund UAS	103,807	0,000	0	0	0	0	103,807	115,423	5,000	0	1	0	0	122,423	92,239	5,000	0	1	0	0	99,239	0,000	0,000	0	0	0	0	0,000	99,239	0	5,00	39
15	Terrassa ESEIAAT	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
20	Vellore VIT	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
23	Amberg OTH		0,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
28	Poznan PUT	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
31	München TU		0,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
47	Vitoria UPV-EHU	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
51	Ghent U	102,347	0,000	0	0	0	1	0,000		0,000	1	0	0	1	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
63	Trondheim NTNU		0,000	1	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
71	Stockholm KTH	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
72	Bremen U	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
80	Münster UAS	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
96	Chennai IITM	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
98	Helsinki UAS	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
114	Wrocław TU	143,202	0,000	0	0	0	1	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
123	Roma U Sapienza	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
127	Lausanne EPFL	89,342	0,000	0	3	0	1	0,000	91,143	0,000	0	1	1	1	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
133	Madrid UPC	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
140	Udine U	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
171	Ilmenau TU	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
249	Krefeld HSNR	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0	0,00	59
340	Eindhoven TU	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	0	0,000	0,000	0,000	0	0	0	
