Car	City_University	Energy_kWh	Time_sec	Laps	Efficiency_Factor	Scores	Placing
399	Karlsruhe UAS	3,391	1894,960	18	12176700,00	75,00	1
23	Amberg OTH	4,712	1629,210	18	12507200,00	70,93	2
42	Prague CTU	4,204	1745,460	18	12808000,00	67,22	3
69	Hamburg UAS	4,568	1704,290	18	13268200,00	61,55	4
50	Lisboa IST	5,078	1648,080	18	13792700,00	55,09	5
77	Stuttgart DHBW	5,476	1588,130	18	13811300,00	54,86	6
240	Darmstadt TU	4,078	1848,630	18	13936300,00	53,32	7
85	Delft TU	5,477	1605,640	18	14120100,00	51,06	8
94	Esslingen UAS	5,516	1610,440	18	14305800,00	48,77	9
35	Wolfenbüttel UAS Ostfalia	5,036	1704,270	18	14627200,00	44,81	10
33	Zürich ETH	5,446	1651,090	18	14846300,00	42,11	11
124	Tallinn TU UAS	6,030	1588,890	18	15223200,00	37,47	12
79	Pforzheim U	4,290	1924,710	18	15892300,00	29,23	13
107	Bern UAS	4,949	1823,810	18	16461800,00	22,21	14
297	Schweinfurt UAS	4,446	1928,540	18	16535900,00	21,30	15
74	Brno TU	5,185	1788,200	18	16579900,00	20,76	16
34	Ingolstadt UAS	5,299	1818,000	18	17513900,00	9,25	17
115	Glasgow U Strath	5,040	1864,850	18	17527400,00	9,09	18
11	Ravensburg DHBW	0,000	0,000	1	0,00	0,00	19
13	München UAS	0,000	0,000	0	0,00	0,00	19
15	Terrassa ESEIAAT	0,000	0,000	0	0,00	0,00	19
20	Vellore VIT	0,000	0,000	0	0,00	0,00	19
22	Leuven KU	0,000	0,000	6	0,00	0,00	19
24	Karlsruhe KIT	0,000	0,000	3	0,00	0,00	19
25	Athens TU	0,000	0,000	0	0,00	0,00	19
26	Stuttgart U	6,105	0,000	18	0,00	0,00	19
28	Poznan PUT	0,000	0,000	0	0,00	0,00	19
29	Bayreuth U	0,000	0,000	11	0,00	0,00	19
31	München TU	0,000	0,000	0	0,00	0,00	19
36	Chemnitz TU	4,209	0,000	18	0,00	0,00	19
40	Montréal PT	5,949	1764,050	18	18512500,00	0,00	19
43	Konstanz UAS	0,000	0,000	17	0,00	0,00	19
44	Ulm UAS	0,000	0,000	11	0,00	0,00	19
46	Turin PT	0,000	0,000	9	0,00	0,00	19
47	Vitoria UPV-EHU	0,000	0,000	0	0,00	0,00	19
48	Bochum U	0,000	0,000	6	0,00	0,00	19
49	Erlangen U	0,000	0,000	2	0,00	0,00	19
51	Ghent U	0,000	0,000	3	0,00	0,00	19
52	Kempten UAS	3,846	0,000	18	0,00	0,00	19
54	Barcelona ETSEIB	0,000	0,000	13	0,00	0,00	19
59	Dresden TU	4,895	0,000	18	0,00	0,00	19
60	Nürnberg GSO UAS	0,000	0,000	7	0,00	0,00	19
62	Regensburg OTH	0,000	0,000	7	0,00	0,00	19
63	Trondheim NTNU	5,191	0,000	18	0,00	0,00	19
65	Wiesbaden UAS	5,640	1853,850	18	19383300,00	0,00	19
66	Melbourne Monash	0,000	0,000	13	0,00	0,00	19
71	Stockholm KTH	0,000	0,000	0	0,00	0,00	19
72	Bremen U	0,000	0,000	0	0,00	0,00	19
76	Freiberg TU	0,000	0,000	4	0,00	0,00	19
78	Hamburg TU	0,000	0,000	17	0,00	0,00	19
80	Münster UAS	0,000	0,000	0	0,00	0,00	19
84	Warsaw UT	0,000	0,000	3	0,00	0,00	19
90	Milano PT	0,000	0,000	11	0,00	0,00	19
92	Sevilla U	0,000	0,000	13	0,00	0,00	19
95	Göteborg Chalmers	0,000	0,000	15	0,00	0,00	19
96	Chennai IITM	0,000	0,000	0	0,00	0,00	19
98	Helsinki UAS	0,000	0,000	0	0,00	0,00	19
99	Aachen RWTH	0,000	0,000	14	0,00	0,00	19
100	Pisa U	4,070	0,000	18	0,00	0,00	19
111	Trento U	3,308	0,000	18	0,00	0,00	19
114	Wrocław TU	2,668	0,000	18	0,00	0,00	19
122	Diepholz UAS	0,000	0,000	0	0,00	0,00	19
123	Roma U Sapienza	0,000	0,000	0	0,00	0,00	19
127	Lausanne EPFL	0,000	0,000	6	0,00	0,00	19
130	Sion HES	3,951	0,000	18	0,00	0,00	19
133	Madrid UPC	0,000	0,000	0	0,00	0,00	19
140	Udine U	0,000	0,000	0	0,00	0,00	19
141	Wien TU	0,000	0,000	10	0,00	0,00	19
167	Osnabrück UAS	0,000	0,000	5	0,00	0,00	19
171	Ilmenau TU	0,000	0,000	0	0,00	0,00	19
172	Dortmund TU	0,000	0,000	0	0,00	0,00	19
173	Düsseldorf HSD	0,000	0,000	8	0,00	0,00	19
181	Göttingen HAWK	0,000	0,000	8	0,00	0,00	19
187	Hannover U	0,000	0,000	7	0,00	0,00	19
200	Padova U	0,000	0,000	0	0,00	0,00	19
224	Stralsund UAS	0,000	0,000	14	0,00	0,00	19
249	Krefeld HSNR	0,000	0,000	0	0,00	0,00	19
313	Berlin TU	0,000	0,000	9	0,00	0,00	19
340	Eindhoven TU	0,000	0,000	2	0,00	0,00	19
