Car	City_University	Lap1_D1	Lap2_D1	Lap3_D1	Lap4_D1	Lap5_D1	Lap6_D1	Lap7_D1	Lap8_D1	Lap9_D1	Lap10_D2	Lap11_D2	Lap12_D2	Lap13_D2	Lap14_D2	Lap15_D2	Lap16_D2	Lap17_D2	Lap18_D2	total
11	Ravensburg DHBW	97,14																		
13	München UAS																			
15	Terrassa ESEIAAT																			
20	Vellore VIT																			
22	Leuven KU	98,42	96,19	89,51	89,41	94,30	97,11													
23	Amberg OTH	87,37	91,02	94,84	81,33	82,60	85,46	82,70	81,89	83,02	85,35	82,54	83,48	90,27	125,39	94,33	89,24	95,32	113,08	1629,21
24	Karlsruhe KIT	96,32	91,18	89,32																
25	Athens TU																			
26	Stuttgart U	101,73	98,29	97,08	95,10	97,84	94,53	94,49	94,95	94,26	86,86	83,16	81,93	83,84	85,08	84,45	82,56	91,17	88,99	1636,30
28	Poznan PUT																			
29	Bayreuth U	103,71	106,36	110,82	95,39	97,33	99,17	97,72	98,69	96,50	102,58	110,81								
31	München TU																			
33	Zürich ETH	94,48	97,67	94,79	91,04	90,45	89,95	89,83	89,95	90,74	94,17	92,66	91,54	91,55	90,22	90,46	89,51	92,61	89,48	1651,09
34	Ingolstadt UAS	106,26	101,79	101,33	99,59	98,75	98,37	96,15	94,44	95,46	103,61	99,60	95,20	100,10	106,72	105,55	105,77	106,91	102,40	1818,00
35	Wolfenbüttel UAS Ostfalia	100,61	96,55	93,75	92,03	90,94	90,39	90,46	91,01	91,04	100,07	98,32	98,26	95,35	95,22	92,06	95,78	96,95	95,49	1704,27
36	Chemnitz TU	116,98	124,19	122,10	119,09	115,46	111,86	112,84	116,55	114,16	124,15	210,37	118,05	125,49	118,94	120,72	117,84	125,77	119,40	2233,93
40	Montréal PT	137,76	102,46	96,63	100,80	97,74	94,29	92,44	93,07	93,25	98,10	95,22	97,27	95,10	95,19	94,87	94,49	92,65	92,71	1764,05
42	Prague CTU	104,32	95,78	92,93	91,47	93,01	94,54	90,14	90,20	109,03	115,83	92,93	92,24	91,82	93,20	98,51	96,47	99,19	103,85	1745,46
43	Konstanz UAS	109,21	104,54	104,20	113,82	92,57	91,26	87,88	101,90	90,14	102,87	114,33	95,65	101,26	96,42	94,81	111,27	119,52		
44	Ulm UAS	101,20	108,26	110,14	96,48	110,53	116,87	162,59	215,40	231,25	202,18	595,06								
46	Turin PT	136,83	127,27	126,50	126,37	120,28	115,85	115,43	120,86	117,77										
47	Vitoria UPV-EHU																			
48	Bochum U	114,20	113,79	142,96	107,57	109,46	106,91													
49	Erlangen U	89,30	86,76																	
50	Lisboa IST	93,44	91,13	95,91	88,92	89,70	89,40	94,11	90,42	94,50	93,42	90,65	91,39	92,59	89,82	91,52	89,93	90,23	91,01	1648,08
51	Ghent U	114,31	106,20	106,41																
52	Kempten UAS	114,50	117,90	117,12	123,97	115,44	120,44	110,46	104,53	103,70	117,08	121,31	115,54	131,15	128,02	117,74	125,86	112,82	112,27	2109,85
54	Barcelona ETSEIB	108,81	104,39	101,20	103,95	101,59	106,53	100,19	100,30	94,39	117,03	113,19	115,85	112,27						
59	Dresden TU	97,55	95,05	92,43	92,35	91,98	89,84	91,17	90,18	89,08	107,37	114,69	119,46	116,94	120,10	96,07	88,80	89,52	93,81	1776,40
60	Nürnberg GSO UAS	101,44	94,66	92,27	93,81	91,93	89,46	97,16												
62	Regensburg OTH	101,70	101,07	97,63	93,00	92,54	94,69	98,31												
63	Trondheim NTNU	103,53	95,41	95,90	84,51	85,45	98,57	86,02	85,99	94,08	88,10	106,16	81,09	83,90	88,54	86,22	85,65	81,03	81,32	1611,48
65	Wiesbaden UAS	116,28	101,42	103,75	101,41	104,05	99,99	103,83	101,06	100,07	114,62	110,33	108,35	99,13	94,79	96,47	97,01	106,73	94,58	1853,85
66	Melbourne Monash	99,77	95,85	95,48	94,22	93,15	93,04	93,31	94,34	93,93	99,87	120,34	99,98	99,54						
69	Hamburg UAS	99,91	99,51	94,24	94,96	91,46	107,46	91,44	95,10	91,83	98,92	91,86	94,18	91,91	90,82	99,28	93,30	90,06	88,06	1704,29
71	Stockholm KTH																			
72	Bremen U																			
74	Brno TU	105,66	105,61	101,92	93,96	88,33	90,80	100,28	86,90	123,84	107,91	138,76	88,85	84,60	86,91	83,91	118,89	95,78	85,32	1788,20
76	Freiberg TU	130,42	123,72	115,09	122,26															
77	Stuttgart DHBW	93,69	88,72	88,42	86,28	85,24	86,47	91,51	91,08	84,00	96,68	89,80	91,11	87,16	87,06	85,24	85,40	84,98	85,31	1588,13
78	Hamburg TU	98,75	96,11	98,42	93,90	95,64	95,29	92,33	90,74	90,34	94,76	92,39	89,87	91,20	90,50	89,30	89,43	89,02		
79	Pforzheim U	101,68	96,56	99,73	94,14	172,75	118,19	106,01	97,81	97,26	98,62	98,52	99,63	104,82	111,06	106,96	109,59	107,08	104,31	1924,71
80	Münster UAS																			
84	Warsaw UT	107,65	96,64	98,34																
85	Delft TU	97,52	95,44	94,02	92,93	94,61	92,66	90,69	90,15	89,51	91,24	86,63	86,51	83,18	85,39	83,43	84,54	82,88	84,31	1605,64
90	Milano PT	95,05	91,50	90,42	87,68	88,81	104,55	91,70	87,05	86,84	96,72	122,57								
92	Sevilla U	131,77	112,25	116,90	114,09	108,44	113,36	112,27	119,62	104,52	107,10	124,56	104,43	123,31						
