Car	City_University	Time_sec	Cones	OffCourse	MissedSlalom	OutOfOrder	Flag	OverDr	VehicleContact	DriverChange_sec	PenaltyTime_sec	Corr_Time_sec	Penalty	Scores	Placing
124	Tallinn TU UAS	1588,89	11	1	0	0	0	0	0	0,00	0,00	1620,89	0	250,00	1
94	Esslingen UAS	1610,44	6	0	0	0	0	0	0	0,00	0,00	1622,44	0	249,14	2
77	Stuttgart DHBW	1588,13	19	4	0	0	0	0	0	0,00	0,00	1666,13	0	225,54	3
85	Delft TU	1605,64	13	4	0	0	0	0	0	0,00	0,00	1671,64	0	222,65	4
33	Zürich ETH	1651,09	13	2	0	0	0	0	0	0,00	0,00	1697,09	0	209,56	5
69	Hamburg UAS	1704,29	5	0	0	0	0	0	0	0,00	0,00	1714,29	0	200,93	6
35	Wolfenbüttel UAS Ostfalia	1704,27	1	1	0	0	0	0	0	0,00	0,00	1716,27	0	199,94	7
50	Lisboa IST	1648,08	2	0	0	0	0	0	0	88,00	0,00	1740,08	0	188,31	8
42	Prague CTU	1745,46	6	0	0	0	0	0	0	0,00	0,00	1757,46	0	180,01	9
23	Amberg OTH	1629,21	6	0	0	1	0	0	0	0,00	0,00	1761,21	0	178,24	10
40	Montréal PT	1764,05	4	0	0	0	0	0	0	0,00	0,00	1772,05	0	173,17	11
74	Brno TU	1788,20	6	0	0	0	0	0	0	0,00	0,00	1800,20	0	160,28	12
34	Ingolstadt UAS	1818,00	1	0	0	0	0	0	0	0,00	0,00	1820,00	0	151,46	13
107	Bern UAS	1823,81	8	2	0	0	0	0	0	0,00	0,00	1859,81	0	134,29	14
65	Wiesbaden UAS	1853,85	5	0	0	0	0	0	0	0,00	0,00	1863,85	0	132,59	15
240	Darmstadt TU	1848,63	5	0	0	0	0	0	0	0,00	30,00	1888,63	0	122,32	16
399	Karlsruhe UAS	1894,96	0	0	0	0	0	0	0	0,00	0,00	1894,96	0	119,73	17
297	Schweinfurt UAS	1928,54	0	3	0	0	0	0	0	0,00	0,00	1958,54	0	94,72	18
115	Glasgow U Strath	1864,85	0	1	0	1	0	0	0	0,00	0,00	1994,85	0	81,16	19
79	Pforzheim U	1924,71	26	2	0	0	0	0	0	0,00	0,00	1996,71	0	80,47	20
36	Chemnitz TU	2233,93	17	4	0	0	0	0	0	0,00	0,00	0,00	0	25,00	21
52	Kempten UAS	2109,85	14	3	0	0	0	0	0	0,00	30,00	0,00	0	25,00	21
100	Pisa U	2195,41	4	0	0	0	0	0	0	35,00	0,00	0,00	0	25,00	21
11	Ravensburg DHBW	97,14	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
13	München UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
15	Terrassa ESEIAAT	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
20	Vellore VIT	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
22	Leuven KU	564,93	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
24	Karlsruhe KIT	276,82	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
25	Athens TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
26	Stuttgart U	1636,30	26	2	0	0	0	0	0	0,00	0,00	0,00	0	0,00	24
28	Poznan PUT	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
29	Bayreuth U	1119,08	0	0	0	0	0	0	0	7,00	0,00		0	0,00	24
31	München TU	0,00	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
43	Konstanz UAS	1731,65	0	0	0	0	0	0	0	3,00	0,00		0	0,00	24
44	Ulm UAS	2049,94	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
46	Turin PT	1107,17	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
47	Vitoria UPV-EHU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
48	Bochum U	694,90	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
49	Erlangen U	176,06	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
51	Ghent U	326,92	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
54	Barcelona ETSEIB	1379,68	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
59	Dresden TU	1776,40	12	0	0	0	0	0	0	0,00	0,00	0,00	0	0,00	24
60	Nürnberg GSO UAS	660,73	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
62	Regensburg OTH	678,93	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
63	Trondheim NTNU	1611,48	12	0	0	0	0	0	0	0,00	30,00	0,00	0	0,00	24
66	Melbourne Monash	1272,81	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
71	Stockholm KTH	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
72	Bremen U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
76	Freiberg TU	491,48	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
78	Hamburg TU	1577,98	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
80	Münster UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
84	Warsaw UT	302,62	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
90	Milano PT	1042,88	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
92	Sevilla U	1492,62	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
95	Göteborg Chalmers	1430,47	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
96	Chennai IITM	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
98	Helsinki UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
99	Aachen RWTH	1261,41	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
111	Trento U	1876,60	0	0	0	1	0	0	0	0,00	0,00	0,00	0	0,00	24
114	Wrocław TU	2280,53	0	1	0	0	0	0	0	0,00	0,00	0,00	0	0,00	24
122	Diepholz UAS	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
123	Roma U Sapienza	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
127	Lausanne EPFL	737,86	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
130	Sion HES	2198,48	4	0	0	0	0	0	0	0,00	30,00	0,00	0	0,00	24
133	Madrid UPC	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
140	Udine U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
141	Wien TU	1072,75	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
167	Osnabrück UAS	509,22	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
171	Ilmenau TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
172	Dortmund TU	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
173	Düsseldorf HSD	866,97	0	0	0	1	0	0	0	0,00	0,00		0	0,00	24
181	Göttingen HAWK	873,05	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
187	Hannover U	1229,52	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
200	Padova U	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
224	Stralsund UAS	1822,38	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
249	Krefeld HSNR	0,00	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
313	Berlin TU	882,52	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
340	Eindhoven TU	182,56	0	0	0	0	0	0	0	0,00	0,00		0	0,00	24
