Car	City_University	Cost	BPP	Design	ACC	DV_ACC	SkidPad	DV_SkidPad	AutoX	Endu	Effic	Penalties	Overall_Scores	Overall_Placing
33	Zürich ETH	90,00	65,13	150,00	49,54	65,28	41,15	73,47	100,00	209,56	42,11	0,00	886,23	1
124	Tallinn TU UAS	75,00	53,97	105,00	46,79	63,89	39,19	61,22	92,27	250,00	37,47	0,00	824,80	2
42	Prague CTU	90,00	60,26	130,00	35,06	69,44	19,61	70,41	49,29	180,01	67,22	0,00	771,29	3
85	Delft TU	95,00	62,19	105,00	0,00	62,50	0,00	0,00	82,00	222,65	51,06	0,00	680,41	4
94	Esslingen UAS	75,00	61,17	100,00	42,49	0,00	35,44	0,00	59,78	249,14	48,77	0,00	671,80	5
77	Stuttgart DHBW	99,00	61,95	105,00	42,68	0,00	35,23	0,00	55,02	225,54	54,86	10,00	669,28	6
50	Lisboa IST	90,00	48,59	105,00	31,48	0,00	0,00	65,82	28,89	188,31	55,09	0,00	613,18	7
24	Karlsruhe KIT	98,00	48,80	145,00	46,58	73,61	34,00	71,94	73,62	0,00	0,00	0,00	591,55	8
59	Dresden TU	85,00	50,93	90,00	50,00	75,00	50,00	75,00	86,35	0,00	0,00	0,00	562,28	9
35	Wolfenbüttel UAS Ostfalia	60,00	62,36	65,00	21,37	0,00	23,51	0,00	58,46	199,94	44,81	0,00	535,46	10
23	Amberg OTH	97,00	54,38	70,00	21,61	0,00	32,67	0,00	0,00	178,24	70,93	0,00	524,82	11
240	Darmstadt TU	50,00	69,12	65,00	3,81	56,94	15,90	62,76	15,98	122,32	53,32	0,00	515,15	12
399	Karlsruhe UAS	90,00	67,77	105,00	0,00	0,00	0,00	0,00	56,85	119,73	75,00	0,00	514,35	13
66	Melbourne Monash	100,00	73,00	110,00	31,38	61,11	13,37	59,69	45,97	0,00	0,00	0,00	494,52	14
69	Hamburg UAS	80,00	60,67	60,00	0,00	0,00	6,93	0,00	15,40	200,93	61,55	0,00	485,49	15
40	Montréal PT	70,00	42,00	115,00	12,78	0,00	14,80	0,00	54,18	173,17	0,00	0,00	481,93	16
90	Milano PT	95,00	69,59	95,00	37,43	0,00	44,80	68,88	62,51	0,00	0,00	0,00	473,20	17
95	Göteborg Chalmers	55,00	56,14	85,00	38,99	70,83	31,25	67,35	63,80	0,00	0,00	0,00	468,36	18
74	Brno TU	75,00	47,48	85,00	18,25	0,00	28,40	0,00	5,00	160,28	20,76	0,00	440,18	19
107	Bern UAS	65,00	72,00	75,00	28,27	0,00	24,21	0,00	5,00	134,29	22,21	0,00	425,99	20
44	Ulm UAS	80,00	60,67	75,00	22,92	66,67	15,43	58,16	27,21	0,00	0,00	0,00	406,06	21
63	Trondheim NTNU	90,00	75,00	125,00	43,67	72,22	0,00	0,00	0,00	0,00	0,00	0,00	405,90	22
297	Schweinfurt UAS	45,00	42,20	75,00	19,20	68,06	11,54	0,00	26,65	94,72	21,30	0,00	403,66	23
26	Stuttgart U	90,00	74,00	115,00	46,14	0,00	0,00	0,00	72,61	0,00	0,00	0,00	397,75	24
34	Ingolstadt UAS	55,00	52,62	60,00	33,09	0,00	16,27	0,00	31,01	151,46	9,25	20,00	388,70	25
141	Wien TU	95,00	70,00	110,00	40,96	0,00	17,69	0,00	54,96	0,00	0,00	20,00	368,61	26
79	Pforzheim U	70,00	63,71	45,00	26,16	0,00	22,98	0,00	27,65	80,47	29,23	0,00	365,21	27
340	Eindhoven TU	80,00	59,25	85,00	37,99	0,00	38,62	64,29	0,00	0,00	0,00	0,00	365,15	28
54	Barcelona ETSEIB	80,00	61,14	90,00	4,08	58,33	16,97	0,00	24,26	0,00	0,00	0,00	334,78	29
65	Wiesbaden UAS	70,00	55,39	50,00	19,20	0,00	2,50	0,00	5,00	132,59	0,00	0,00	334,68	30
99	Aachen RWTH	70,00	62,39	125,00	31,10	0,00	27,84	0,00	5,00	0,00	0,00	0,00	321,32	31
13	München UAS	80,00	66,75	90,00	35,33	0,00	39,39	0,00	7,06	0,00	0,00	0,00	318,53	32
200	Padova U	75,00	67,36	85,00	27,73	0,00	20,29	0,00	26,52	0,00	0,00	0,00	301,90	33
60	Nürnberg GSO UAS	75,00	57,35	50,00	23,53	0,00	37,01	0,00	52,25	0,00	0,00	0,00	295,15	34
78	Hamburg TU	60,00	49,71	65,00	33,85	59,72	0,00	0,00	24,76	0,00	0,00	0,00	293,04	35
115	Glasgow U Strath	35,00	51,67	70,00	9,22	0,00	16,47	0,00	5,00	81,16	9,09	0,00	277,60	36
25	Athens TU	90,00	64,93	80,00	8,47	0,00	0,00	0,00	28,82	0,00	0,00	10,00	262,23	37
172	Dortmund TU	65,00	55,29	75,00	13,33	0,00	13,89	0,00	35,16	0,00	0,00	0,00	257,68	38
187	Hannover U	45,00	61,07	50,00	18,63	0,00	29,39	0,00	50,77	0,00	0,00	0,00	254,86	39
100	Pisa U	90,00	55,39	45,00	10,79	0,00	0,00	0,00	24,30	25,00	0,00	0,00	250,48	40
31	München TU	75,00	62,49	105,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	242,49	41
22	Leuven KU	75,00	50,52	90,00	0,00	0,00	13,23	0,00	8,88	0,00	0,00	0,00	237,63	42
43	Konstanz UAS	65,00	58,33	70,00	33,59	0,00	23,80	0,00	5,00	0,00	0,00	20,00	235,72	43
49	Erlangen U	85,00	41,70	75,00	14,08	0,00	11,13	0,00	5,00	0,00	0,00	0,00	231,91	44
313	Berlin TU	65,00	62,29	70,00	0,00	0,00	0,00	0,00	33,64	0,00	0,00	0,00	230,93	45
11	Ravensburg DHBW	80,00	55,59	80,00	0,00	0,00	17,92	0,00	5,00	0,00	0,00	10,00	228,51	46
111	Trento U	70,00	64,39	65,00	2,50	0,00	18,29	0,00	5,00	0,00	0,00	0,00	225,18	47
46	Turin PT	45,00	44,23	75,00	31,96	0,00	21,35	0,00	5,00	0,00	0,00	0,00	222,53	48
29	Bayreuth U	80,00	58,57	45,00	26,90	0,00	3,34	0,00	5,00	0,00	0,00	0,00	218,81	49
62	Regensburg OTH	65,00	56,41	65,00	0,00	0,00	0,00	0,00	31,02	0,00	0,00	0,00	217,43	50
15	Terrassa ESEIAAT	80,00	56,27	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	216,27	51
133	Madrid UPC	85,00	55,39	75,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	215,39	52
181	Göttingen HAWK	85,00	41,93	60,00	11,19	0,00	11,86	0,00	5,00	0,00	0,00	0,00	214,98	53
92	Sevilla U	70,00	46,13	80,00	5,70	0,00	0,00	0,00	8,27	0,00	0,00	0,00	210,10	54
114	Wrocław TU	65,00	48,80	90,00	2,50	0,00	2,50	0,00	0,00	0,00	0,00	0,00	208,80	55
52	Kempten UAS	50,00	33,99	55,00	23,28	0,00	7,70	0,00	18,85	25,00	0,00	20,00	193,82	56
51	Ghent U	80,00	69,80	85,00	2,50	0,00	0,00	0,00	0,00	0,00	0,00	50,00	187,30	57
96	Chennai IITM	85,00	51,94	70,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	186,94	58
127	Lausanne EPFL	55,00	18,41	85,00	30,24	0,00	24,77	0,00	0,00	0,00	0,00	30,00	183,42	59
71	Stockholm KTH	60,00	68,78	80,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	178,78	60
224	Stralsund UAS	75,00	40,99	50,00	0,00	0,00	0,00	0,00	5,00	0,00	0,00	0,00	170,99	61
48	Bochum U	50,00	53,26	50,00	2,50	0,00	8,58	0,00	5,00	0,00	0,00	0,00	169,34	62
122	Diepholz UAS	55,00	57,49	35,00	13,31	0,00	2,50	0,00	5,00	0,00	0,00	0,00	168,30	63
140	Udine U	80,00	51,13	35,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	166,13	64
36	Chemnitz TU	55,00	45,18	40,00	2,50	0,00	2,50	0,00	5,00	25,00	0,00	10,00	165,18	65
167	Osnabrück UAS	75,00	40,78	40,00	0,00	0,00	0,00	0,00	8,31	0,00	0,00	0,00	164,09	66
84	Warsaw UT	65,00	32,19	25,00	17,87	0,00	5,32	0,00	5,00	0,00	0,00	0,00	150,38	67
28	Poznan PUT	50,00	47,38	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	147,38	68
76	Freiberg TU	60,00	34,63	40,00	0,00	0,00	2,50	0,00	5,00	0,00	0,00	0,00	142,13	69
123	Roma U Sapienza	65,00	54,65	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	134,65	70
98	Helsinki UAS	40,00	46,77	45,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	131,77	71
173	Düsseldorf HSD	35,00	59,86	25,00	2,50	0,00	0,00	0,00	5,00	0,00	0,00	0,00	127,36	72
72	Bremen U	35,00	34,90	55,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	124,90	73
20	Vellore VIT	35,00	60,87	25,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	120,87	74
249	Krefeld HSNR	50,00	36,32	50,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	106,32	75
130	Sion HES	30,00	40,04	30,00	0,00	0,00	0,00	0,00	5,00	0,00	0,00	0,00	105,04	76
