Car	City_University	run_1_1_sec	run_1_2_sec	run_1_PT_sec	run_1_Cones	run_1_DNF	run_1_Disq	run_1_Time_sec	run_2_1_sec	run_2_2_sec	run_2_PT_sec	run_2_Cones	run_2_DNF	run_2_Disq	run_2_Time_sec	Best_Time_sec	Penalty	Scores	Placing
59	Dresden TU	4,774	4,708	0,000	0	0	0	4,741	4,644	4,609	0,000	0	0	0	4,627	4,627	0	50,00	1
90	Milano PT	5,013	4,833	0,000	0	0	0	4,923	4,776	4,665	0,000	0	0	0	4,721	4,721	0	44,80	2
33	Zürich ETH	4,970	4,882	0,000	0	0	0	4,926	4,828	4,752	0,000	0	0	0	4,790	4,790	0	41,15	3
13	München UAS	5,079	4,889	0,000	1	0	0	5,184	4,847	4,802	0,000	0	0	0	4,825	4,825	0	39,39	4
124	Tallinn TU UAS	5,037	4,895	0,000	1	0	0	5,166	4,887	4,770	0,000	0	0	0	4,829	4,829	0	39,19	5
340	Eindhoven TU	5,076	4,955	0,000	3	0	0	5,616	4,863	4,817	0,000	0	0	0	4,840	4,840	0	38,62	6
60	Nürnberg GSO UAS	5,021	5,012	0,000	0	0	0	5,017	4,966	4,779	0,000	0	0	0	4,873	4,873	0	37,01	7
94	Esslingen UAS	5,186	5,000	0,000	1	0	0	5,293	4,931	4,879	0,000	0	0	0	4,905	4,905	0	35,44	8
77	Stuttgart DHBW	5,016	4,803	0,000	0	0	0	4,910	4,975	4,829	0,000	1	0	0	5,102	4,910	0	35,23	9
24	Karlsruhe KIT	5,182	4,934	0,000	0	0	0	5,058	5,029	4,842	0,000	0	0	0	4,936	4,936	0	34,00	10
23	Amberg OTH	5,162	5,057	0,000	0	0	0	5,110	5,072	4,856	0,000	0	0	0	4,964	4,964	0	32,67	11
95	Göteborg Chalmers	5,464	5,415	0,000	0	0	0	5,440	5,036	4,954	0,000	0	0	0	4,995	4,995	0	31,25	12
